site_code,trt,year_trt,avg_richness,avg_richness2,avg_invsimpsons2,avg_shannons,avg_evenness_Sh,beta_invsimpsons,gamma_richness,log_spp_stab_cover,log_spp_asynch_cover,log_spatial_asynch_prod,log_alpha_stab_prod,log_gamma_stab_prod,temp_mean,temp_sd,TEMP_VAR_v2,MAP_VAR_v2,res_log_spatial_asynch_prod,res_log_alpha_stab_prod,res_log_gamma_stab_prod,resGamma_prod
unc.us,Fertilized,4,7.416666667,2.89077093,1.438575156,3.451364497,0.572758835,1.215462154,13.5,0.115707249,1.885129587,0.030318478,0.445915995,0.476234472,346,46.7868387,795.6390325,11.1805143,-0.363517849,-0.29245193,-0.493212136,-0.424260024
unc.us,Control,4,11.41666667,3.513069582,1.722811696,4.817371109,0.627149873,1.682842421,20,0.232275503,2.026240034,0.153243322,1.079291655,1.232534977,299.275,31.27588477,795.6390325,11.1805143,-0.207633202,0.360580522,0.222959215,0.233581244
valm.ch,Control,4,26.58333333,4.732450113,3.186063237,14.61880306,0.820470466,2.183980141,50.75,0.783180488,1.95825673,1.029609449,1.310262877,2.339872325,333,21.47104477,639.1732359,25.91755635,0.77196582,0.600077966,1.367150453,1.163671629
valm.ch,Fertilized,4,24.08333333,4.589963182,3.196449121,13.26747142,0.809020433,1.534833479,42,0.464964542,1.578392021,0.520288839,1.043637004,1.563925843,348.25,45.13075984,639.1732359,25.91755635,0.310188325,0.338679704,0.638649258,0.410450708
yarra.au,Control,4,5.25,2.392317423,1.094826,2.723074869,0.596484923,1.042635354,8.25,0.702175092,1.037493154,0.042957711,0.362342065,0.405299776,281,49.33759781,465.034015,33.15991489,-0.191980433,-0.365723657,-0.581993055,-0.404164595
yarra.au,Fertilized,4,4.75,2.247927513,0.990085177,2.446387984,0.544452116,0.952598915,6.25,0.178235302,0.873894513,0.05181923,0.534103703,0.585922934,256.25,89.48076762,465.034015,33.15991489,-0.097159835,-0.186980276,-0.337835652,-0.207821476
bogong.au,Control,5,18.06666667,4.175258446,1.749010074,5.781136849,0.602154755,1.043612754,22.4,0.985431128,0.978167286,0.334205833,1.090609847,1.424815681,285.8,40.11273444,489.9922677,26.48821526,0.075958829,0.368777604,0.440361564,0.306109198
bogong.au,Fertilized,5,17.86666667,4.159198595,2.105686368,7.032813565,0.666421676,1.430814182,25.2,1.031218361,0.985382839,0.023059447,1.167982971,1.191042418,295.8,39.37308064,489.9922677,26.48821526,-0.178755554,0.436233423,0.249853041,0.086749161
burrawan.au,Control,5,9.066666667,3.180572246,1.274807861,3.409136841,0.543569534,1.029395582,14.4,0.535911044,0.592036451,0.238658701,0.601664912,0.840323613,279.4,90.44093199,497.4823015,41.48761273,0.031092083,-0.123614093,-0.135727652,-0.115879052
burrawan.au,Fertilized,5,9.2,3.201633861,1.571780364,4.078691237,0.584081922,1.198050257,14,0.278252988,0.495855661,0.40767404,0.408816123,0.816490163,310.6,143.2221988,497.4823015,41.48761273,0.304419563,-0.281406092,-0.074587307,-0.13605361
cbgb.us,Fertilized,5,7.266666667,2.861293729,1.344260522,3.498515511,0.607738518,2.400086808,15.8,0.396063237,1.314712603,0.325082737,0.957062995,1.282145733,419.8,75.86857499,1122.075674,46.25499319,0.172789814,0.242816469,0.386394309,0.393104655
cbgb.us,Control,5,8.4,3.070389328,1.623574113,4.185169681,0.643923993,1.164073644,19.4,0.593244391,1.123485651,0.613651101,0.897057302,1.510708403,352.4,63.30959211,1122.075674,46.25499319,0.265987439,0.057866118,0.313570011,0.59182233
cdcr.us,Control,5,10.2,3.350497247,2.140319862,5.729039039,0.745757127,1.250740023,17,0.453928375,0.808640811,0.327909567,0.487212158,0.815121725,307.1,86.8866366,1215.737934,53.0748237,-0.070178667,-0.406174529,-0.472446366,-0.134098787
cdcr.us,Fertilized,5,5.533333333,2.468148836,1.598617063,3.620808355,0.746755233,1.150784684,11.8,0.481960315,0.847056681,0.049494201,0.60678925,0.65628345,335.9,88.92528295,1215.737934,53.0748237,-0.114626783,-0.129015412,-0.241052489,-0.13921048
cdpt.us,Control,5,10.8,3.432959407,2.081955186,5.58131552,0.716365313,1.24911018,19.2,0.760109106,0.943302579,0.138723978,0.572150625,0.710874603,239.348,43.57601457,1006.799906,63.28145436,-0.143394705,-0.220719206,-0.384857079,-0.25800956
cdpt.us,Fertilized,5,9.133333333,3.191141487,1.807392494,4.562210994,0.693408231,1.251863869,16.6,0.32318686,1.449639916,0.205196451,0.272610833,0.477807284,250.324,42.51807599,1006.799906,63.28145436,0.069054789,-0.360237851,-0.340576236,-0.453146055
chilcas.ar,Control,5,9.6,3.263034406,1.692591006,4.457994977,0.482713898,0.902080531,20.6,0.595931727,1.497308402,0.288998789,0.769002482,1.058001271,336.6,41.49841162,497.6117157,25.5935827,0.02750181,0.048594512,0.074713996,0.076446769
chilcas.ar,Fertilized,5,5,2.321928095,0.4515214,1.77674536,0.230996943,0.946945332,10.6,1.318429115,0.628843039,1.005766979,0.983272303,1.989039282,320.5,45.72339638,497.6117157,25.5935827,0.795738549,0.251154082,1.046174759,1.125749321
comp.pt,Control,5,19.6,4.292781749,2.753834856,10.01311513,0.73530895,1.299932048,30.8,0.141227131,0.971230292,0.194821911,0.526823065,0.721644976,407.2,133.8670364,515.6740189,63.04059138,0.005028883,-0.202530558,-0.24121208,-0.393440618
comp.pt,Fertilized,5,14.46666667,3.854660637,2.461510472,7.630089858,0.736381368,1.37968862,23,-0.255780299,1.492377561,0.043572511,0.502668345,0.546240856,422.4,122.6525389,515.6740189,63.04059138,-0.049020509,-0.126176676,-0.271763723,-0.492409091
cowi.ca,Control,5,4.8,2.263034406,0.466770891,1.801351462,0.364846522,1.007818067,7.6,0.900860326,0.398212762,0.058755511,0.784417671,0.843173183,191,52.10184391,487.9430797,64.8927335,-0.13512226,0.050541654,-0.124175528,0.014329883
cowi.ca,Fertilized,5,3.6,1.847996907,0.238265943,1.392553412,0.250126619,1.000796379,5,1.688777209,0.515958035,0.007995531,0.535709218,0.543704748,299,32.97363589,487.9430797,64.8927335,-0.090904156,-0.095272672,-0.272641976,-0.233653421
